DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Year,Month,Hour
2020-11-11,1230,Hollenbeck,BATTERY - SIMPLE ASSAULT,29,M,O,2020,2020-11-01,12
2020-11-10,1730,Southwest,BATTERY - SIMPLE ASSAULT,25,F,B,2020,2020-11-01,17
2020-02-12,2100,Hollywood,BATTERY - SIMPLE ASSAULT,50,M,W,2020,2020-02-01,21
2020-07-11,1458,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,H,2020,2020-07-01,14
2020-01-29,920,West Valley,BATTERY - SIMPLE ASSAULT,73,M,W,2020,2020-01-01,9
2020-11-09,300,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,B,2020,2020-11-01,3
2020-03-22,610,Van Nuys,BATTERY - SIMPLE ASSAULT,52,F,O,2020,2020-03-01,6
2020-08-07,1225,West LA,BATTERY - SIMPLE ASSAULT,56,M,W,2020,2020-08-01,12
2020-10-18,30,Hollywood,BATTERY - SIMPLE ASSAULT,39,M,B,2020,2020-10-01,0
2020-07-14,1235,Wilshire,BATTERY - SIMPLE ASSAULT,28,M,W,2020,2020-07-01,12
2020-11-13,1530,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,H,2020,2020-11-01,15
2020-11-13,1515,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,M,B,2020,2020-11-01,15
2020-11-14,1,Hollenbeck,BATTERY - SIMPLE ASSAULT,24,M,H,2020,2020-11-01,0
2020-06-10,1100,Hollywood,BATTERY - SIMPLE ASSAULT,70,F,W,2020,2020-06-01,11
2020-12-14,2100,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,M,H,2020,2020-12-01,21
2020-02-17,2125,West LA,BATTERY - SIMPLE ASSAULT,53,F,A,2020,2020-02-01,21
2020-11-13,2030,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,H,2020,2020-11-01,20
2020-10-14,1200,Harbor,BATTERY - SIMPLE ASSAULT,90,F,H,2020,2020-10-01,12
2020-11-20,1330,Hollywood,BATTERY - SIMPLE ASSAULT,51,M,O,2020,2020-11-01,13
2020-01-25,200,Van Nuys,BATTERY - SIMPLE ASSAULT,29,F,H,2020,2020-01-01,2
2020-02-08,2235,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,W,2020,2020-02-01,22
2020-10-24,1900,West LA,BATTERY - SIMPLE ASSAULT,25,M,O,2020,2020-10-01,19
2020-03-06,1200,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,H,2020,2020-03-01,12
2020-11-09,1750,Southwest,BATTERY - SIMPLE ASSAULT,29,M,O,2020,2020-11-01,17
2020-02-05,1555,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,M,H,2020,2020-02-01,15
2020-11-12,30,Southwest,BATTERY - SIMPLE ASSAULT,29,M,H,2020,2020-11-01,0
2020-04-30,220,Hollywood,BATTERY - SIMPLE ASSAULT,29,M,W,2020,2020-04-01,2
2020-04-19,1850,Van Nuys,BATTERY - SIMPLE ASSAULT,29,F,W,2020,2020-04-01,18
2020-08-31,1800,Van Nuys,BATTERY - SIMPLE ASSAULT,54,F,H,2020,2020-08-01,18
2020-11-13,1310,Southwest,BATTERY - SIMPLE ASSAULT,40,M,H,2020,2020-11-01,13
